category,website,name,phone,address,email
Baseball,,"
									1.
								,Wyandotte County Sports Association,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.299.9197'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.561.9622'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-289-9856'>]","10100 Leavenworth Road,Kansas City, KS",
"Baseball,Basketball,Flag Football,Soccer",,"
									2.
								,YMCA of Greater Kansas City,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.299.9197'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.561.9622'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-289-9856'>]","3100 Broadway, Suite 1020,Kansas City, MO, 64111",
Baseball,,Baseball,"[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.299.9197'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.561.9622'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-289-9856'>]",,
Baseball,,"3. ,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.299.9197'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.561.9622'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-289-9856'>]","AJ WILSON,Kansas City, 64155",
Baseball,,"
									1.
								,3&2 Baseball,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-888-8055'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816)813-5473'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 856-7535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-942-9992'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 393-9891'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 734-9595'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913)287-2111'>]","P.O. Box 14011,Lenexa, 66285",
"Baseball,Basketball,Fastpitch Softball,Girls Volleyball",,"
									2.
								,Blue Valley Recreation,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-888-8055'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816)813-5473'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 856-7535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-942-9992'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 393-9891'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 734-9595'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913)287-2111'>]","6545 W. 151st Street,Overland Park, 66223",
"Baseball,Fastpitch Softball",,"
									3.
								,Diamondskilz,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-888-8055'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816)813-5473'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 856-7535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-942-9992'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 393-9891'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 734-9595'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913)287-2111'>]","1215 Pamela Blvd.,Grain Valley, 64029",
"Baseball,Basketball,Flag Football,Girls Volleyball",,"
									4.
								,Gardner Parks and Recreation,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-888-8055'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816)813-5473'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 856-7535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-942-9992'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 393-9891'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 734-9595'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913)287-2111'>]","120 East Main,Gardner, 66030",
"Baseball,Basketball,Cheerleading,Flag Football,Soccer",,"
									5.
								,i9 Sports,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-888-8055'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816)813-5473'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 856-7535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-942-9992'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 393-9891'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 734-9595'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913)287-2111'>]","Overland Park, 66062",
"Baseball,Basketball,Fastpitch Softball,Girls Volleyball",,"Johnson County Park and Recreation District,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-888-8055'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816)813-5473'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 856-7535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-942-9992'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 393-9891'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 734-9595'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913)287-2111'>]",,
