category,website,name,phone,address,email
Cheerleading,,"
									1.
								,All American Cheer & Stunt,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","921 W 141st Terrace,Kansas City, MO, 64145",
"Cheerleading,Gymnastics,Dance",,"
									2.
								,Diamond Gymnastics and Dance Academy Inc.,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","7270 West 161st St.,Overland Park, 66085",
"Cheerleading,Gymnastics",,"
									3.
								,EDGE Gymnastics - Riverside,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","5050 NW GATEWAY AVE.,Riverside, 64150",
"Cheerleading,Football,Flag Football",,"
									4.
								,Football & Cheerleading Club of Johnson County, Inc.,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","6740 Antioch ,Suite 250,Merriam, 66204",
"Cheerleading,Gymnastics,Swimming",,"
									5.
								,Great American Gymnastic Express (GAGE) Center, LLC,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","1101 NW Jefferson,Blue Springs, 64015",
"Baseball,Basketball,Cheerleading,Flag Football,Soccer",,"
									6.
								,i9 Sports,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","Overland Park, 66062",
Cheerleading,,"
									7.
								,Kansas City Athletic Cheer,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","6855 W 152nd Terr,Overland Park, 66223",
"Cheerleading,Gymnastics",,"
									8.
								,Kansas Gymnastics and Cheer Center,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","1702 E. 123rd Terrace,Olathe, 66061",
"Cheerleading,Gymnastics",,"
									9.
								,Missouri Elite Gymnastics Academy (MEGA),Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","19601 S. Harrelson Dr.,Belton, 64012",
"Cheerleading,Football,Flag Football",,"
									10.
								,North Suburban Youth Football League,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","Kansas City, MO",
