category,website,name,phone,address,email
Misc,,"
									1.
								,4 REAL Sports Group,Misc","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-268-5608'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-636-3769'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 579-9535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 379 9067'>]","9420 Liberty Drive,Liberty, 64068",
Misc,,"3. ,Misc","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-268-5608'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-636-3769'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 579-9535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 379 9067'>]","9900 Antioch Road,Overland Park, 66212",
"Cheerleading,Misc",,"4. ,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-268-5608'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-636-3769'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 579-9535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 379 9067'>]","8537 wayne ave,Kansas City, 64131",
Girls Volleyball,,"
									1.
								,ASICS MAVS,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","5780 Meadow Heights Dr.,Shawnee, 66226",
Girls Volleyball,,"
									2.
								,ATTACK by BVAC,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","19404 E Holke Rd,Independence, 64057",
"Baseball,Basketball,Fastpitch Softball,Girls Volleyball",,"
									3.
								,Blue Valley Recreation,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","6545 W. 151st Street,Overland Park, 66223",
Girls Volleyball,,"
									4.
								,BOOST Volleyball,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","2140 S E 7th St,Lees Summit, 64063",
Girls Volleyball,,"
									5.
								,Boss,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","2245 Ne 46th St,Topeka, 66617-3911",
Girls Volleyball,,"
									6.
								,Club North,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","6609 NW Valleyview,Kansas City, 64152",
Girls Volleyball,,"
									7.
								,Crush Volleyball,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","1516 Princeton Cir,Liberty, 64068-3369",
