phone,streetAddress,name,addressState,addressCity,addressZip
(817) 920-9213,2301 Evans Ave,Church Of The Living God,TX,"Fort Worth, ",76104
(817) 332-3722,801 W Cannon St,Faith Pointe Church Of Christ,TX,"Fort Worth, ",76104
(817) 984-1100,775 W Bowie St,Travis Avenue Baptist Church Clinic,TX,"Fort Worth, ",76110
(817) 927-8619,2112 Forest Park Blvd,Second Church-Christ Scientist,TX,"Fort Worth, ",76110
(817) 927-0379,3100 Willing Ave,Templo Juan,TX,"Fort Worth, ",76110
(817) 207-8940,1911 Yuma Ave,Church Truelove,TX,"Fort Worth, ",76104
(817) 531-0306,1817 Renner Ave,Solid Rock Tabernacle,TX,"Fort Worth, ",76104
(817) 966-0633,1208 West Magnolia #106,The Rooted Church,TX,"Fort Worth, ",76104
(817) 348-9670,402 Hemphill St,Sanctuary Church,TX,"Fort Worth, ",76104
(817) 820-0300,400 Hemphill St,Tsc,TX,"Fort Worth, ",76104
(817) 336-5779,1712 Pruitt St,Holy Spirit Embassy,TX,"Fort Worth, ",76104
(817) 810-0191,1068 E Humbolt St,Baker Chapel AME Church,TX,"Fort Worth, ",76104
(817) 536-1311,2415 Bomar Ave,Evangel Temple Pentecostal Hse,TX,"Fort Worth, ",76103
(817) 451-2990,PO Box 50516,Powerteen Ministry,TX,"Fort Worth, ",76105
(817) 923-5929,1201 E Allen Ave,Hassan Masjid Of All-Islam,TX,"Fort Worth, ",76104
(817) 927-0730,2860 Evans Ave,Morningside United Methodist Church,TX,"Fort Worth, ",76104
(817) 335-3222,908 Pennsylvania Ave,Celebration Community Church,TX,"Fort Worth, ",76104
(817) 920-7767,901 Page Ave,Angel Montessori,TX,"Fort Worth, ",76110
(817) 429-9366,956 E Jefferson Ave,Fellowship Baptist Church,TX,"Fort Worth, ",76104
(817) 531-2448,4401 S Riverside Dr,Gospel Kingdom Church Of God In Christ,TX,"Fort Worth, ",76119
(817) 536-6921,4545 S Riverside Dr,Rolling Hills Church Of God In Christ,TX,"Fort Worth, ",76119
(817) 336-7185,612 Throckmorton St,First Christian Church,TX,"Fort Worth, ",76102
(817) 336-3878,1063 E Rosedale St,Antioch Missionary Baptist Church,TX,"Fort Worth, ",76104
(817) 927-8049,2828 McCart Ave,The Church In Fort Worth,TX,"Fort Worth, ",76110
(817) 332-7911,970 E Humbolt St,Bethlehem Center,TX,"Fort Worth, ",76104
(817) 338-9356,1470 E Magnolia Ave,House Of Hope,TX,"Fort Worth, ",76104
(817) 923-0058,1007 E Terrell Ave,Our Mother of Mercy Catholic School,TX,"Fort Worth, ",76104
(817) 332-1202,1200 Bessie St,Ekklesia Christian School,TX,"Fort Worth, ",76104
(817) 921-6061,1346 E Powell Ave,Harris Temple Church Of God In Christ,TX,"Fort Worth, ",76104
(817) 882-9162,1598 Sunset Ter,Central Dallas Ministries,TX,"Fort Worth, ",76102
(817) 926-1811,1125 Elmwood Ave,First Samaria Baptist Church,TX,"Fort Worth, ",76104
,,,,,
(817) 338-0372,1201 Bessie St,Greater New Life COGIC,TX,"Fort Worth, ",76104
