category,phone,streetAddress,name,addressState,addressCity,addressZip
Financial Services,(913) 299-3600,8147 Parallel Pkwy,Edward Jones - Financial Advisor: Eric V McTye,KS,"Kansas City, ",66112
Financial Services,(913) 721-0327,2300 Hutton Rd Suite 105,Edward Jones - Financial Advisor: DeWayne Ovard,KS,"Kansas City, ",66109
Computer & Equipment Dealers,(913) 217-7693,1016 SW Blvd,Geeks on Guard,KS,"Kansas City, ",66103
Advertising Agencies,(816) 225-7393,1225 Union Ave.,Voss Prints,MO,"Kansas City, ",64101
"Accountants-Certified Public,Bookkeeping",(913) 287-4433,1333 Meadowlark Ln Ste 204,Cochran Head Vick & Co,KS,"Kansas City, ",66102
Business Coaches & Consultants,(913) 999-4140,PO Box 12114,LaDonna's Virtual Assistants,KS,"Kansas City, ",66112
Business Coaches & Consultants,(816) 396-5533,123 Virtual Street,Kissa's Kreations,KS,"Kansas City, ",66103
"Funeral Directors,Crematories",(913) 371-2823,2065 N 5th St,Lawrence A Jones & Sons Fnrl,KS,"Kansas City, ",66101
Computer Cable & Wire Installation,(913) 384-4988,3160 Fairfax Trfy,Mid America Cable,KS,"Kansas City, ",66115
Consulting Engineers,(913) 310-1600,1211 W Cambridge Circle Dr,Psi,KS,"Kansas City, ",66103
"Financial Planning Consultants,Insurance",(913) 262-2333,2707 S 47th St,Farm Bureau Financial Service,KS,"Kansas City, ",66106
Computer System Designers & Consultants,(913) 980-2235,4737 Canaan Lake Dr,Vista Consulting Inc,KS,"Kansas City, ",66109
Business Coaches & Consultants,(913) 321-2262,1021 N 7th St,HDC Consulting Group Inc,KS,"Kansas City, ",66101
Business Plans Development,(913) 953-6966,1216 N. 76th Street,"myTEAM, Inc.",KS,"Kansas City, ",66112
Management Consultants,(913) 871-8512,726 Armstrong Ave,Callos Management,KS,"Kansas City, ",66101
"Funeral Planning,Crematories",(913) 621-6400,1835 Minnesota Ave,Porter Funeral Homes,KS,"Kansas City, ",66102
Marketing Programs & Services,(913) 544-2030,516 Kansas Ave,Curious Pixel,KS,"Kansas City, ",66105
"Electricians,Home Builders",(913) 621-3553,510 Miami Ave,Broadway Electrical Construction Inc,KS,"Kansas City, ",66105
Telephone Equipment & Systems,(913) 621-3553,510 Miami Ave,Beci,KS,"Kansas City, ",66105
Marketing Programs & Services,(913) 621-2161,1101 S 5th St,South Atlantic Marketing,KS,"Kansas City, ",66105
"Publicity Service,Advertising Agencies",(913) 233-2300,4121 Minnesota Ave,Davidson Media Group,KS,"Kansas City, ",66102
Management Consultants,(913) 321-1717,100 Abbie Ave,Intermodal Marketing Inc,KS,"Kansas City, ",66103
Advertising Agencies,(913) 371-4333,1100 W Cambridge Circle Dr,Gazlay Marketing Group,KS,"Kansas City, ",66103
Management Consultants,(913) 262-1011,640 Southwest Blvd,International Sales Management,KS,"Kansas City, ",66103
Management Consultants,(913) 428-2400,1701 S 45th St,Custom Essential Service Inc,KS,"Kansas City, ",66106
Computer Network Design & Systems,(913) 432-9335,2820 Roe Ln,Tek Solutions,KS,"Kansas City, ",66103
Management Consultants,(913) 233-0224,5400 Speaker Rd,K C Fleet Svc,KS,"Kansas City, ",66106
Advertising Specialties,(816) 974-6274,4336 Mission Rd Suite 5,Imari Enterprises,KS,"Kansas City, ",66103
Management Consultants,(913) 671-6800,3138 S 24th St,Telamon Corp,KS,"Kansas City, ",66106
"Funeral Directors,Crematories",(913) 334-6300,6300 Parallel Ave,Butler Meyers Funeral Home Mary,KS,"Kansas City, ",66102
,(877) 206-8692,,,,,
,(816) 751-9334,,,,,
,(816) 237-5420,1201 Walnut St,,MO,"Kansas City, ",64106
,(501) 753-0202,,,,,
,,,,,,
,(866) 435-6581,404 Shawnee St,,KS,"Leavenworth, ",66048
Insurance Consultants & Analysts,(816) 221-4844,1600 Genessee St,Pearl Consulting Group,MO,"Kansas City, ",64102
Employee Benefit Consulting Services,(816) 471-5300,1600 Genessee St,Le Benefits Group,MO,"Kansas City, ",64102
Professional Engineers,(816) 421-0950,1600 Genessee St,Antella Consulting Engineers,MO,"Kansas City, ",64102
"Investments,Financial Planners",(816) 421-4343,1600 Genessee St,Summit Capital Management,MO,"Kansas City, ",64102
Financial Planning Consultants,(816) 421-4343,1600 Genessee St,First Allied Securities Inc,MO,"Kansas City, ",64102
Financial Planning Consultants,(816) 421-4343,1600 Genessee St # 800,Krum Jeff,MO,"Kansas City, ",64102
Consulting Engineers,(816) 283-3233,1600 Genessee St # 360,Varner Darren,MO,"Kansas City, ",64102
Employee Benefit Consulting Services,(816) 460-0407,1600 Genessee St,Tri Star Benefits System Inc,MO,"Kansas City, ",64102
Employee Assistance Programs,(913) 967-9567,,Tycoon Consulting,KS,"Kansas City, ",66103
"Financial Planning Consultants,Insurance",(913) 385-4293,,Primerica,KS,"Kansas City, ",66109
Business Coaches & Consultants,(913) 499-0260,,Spirit Services & Consulting,KS,"Kansas City, ",66103
Computer System Designers & Consultants,(913) 963-5197,,Just Ask Computer Service,KS,"Kansas City, ",66103
Marketing Consultants,(913) 232-4497,,Atkinson Hunt,KS,"Kansas City, ",66101
Credit & Debt Counseling,(913) 432-5952,,Credit Repair,KS,"Kansas City, ",66106
Business Coaches & Consultants,(913) 534-2149,,Battey Charles Consultation,KS,"Kansas City, ",66101
Employment Agencies,(913) 825-2781,,J D Consulting Service,KS,"Kansas City, ",66111
Financial Planning Consultants,(913) 432-5952,,Debt Settlement,KS,"Kansas City, ",66102
"Mortgages,Financial Planning Consultants",(913) 428-0296,,SCC Mortgage,KS,"Kansas City, ",66102
"Tax Return Preparation,Bookkeeping",(913) 302-7335,,Accurate Tax Service,KS,"Kansas City, ",66112
Business Coaches & Consultants,(913) 788-9884,7628 State Ave,City Wide Development,KS,"Kansas City, ",66112
Credit & Debt Counseling,(877) 206-8692,,ClearPoint Credit Counseling Solutions,,,
,(913) 287-4436,1333 Meadowlark Ln,C H V Consulting and Acounting,KS,"Kansas City, ",66102
Financial Planning Consultants,(816) 421-7110,1600 Genessee St,Reliant Financial Services,MO,"Kansas City, ",64102
Inspection Service,(816) 368-2597,,PST Engineering,,,
"Franchising,Investments",(866) 934-7167,,Sunshine Franchise Consulting & Brokerage,,,
Business Coaches & Consultants,(816) 448-3411,2300 Main St,Saigan Technologies Inc,MO,"Kansas City, ",64108
