category,phone,streetAddress,name,addressState,addressCity,addressZip
"Insurance,Property & Casualty Insurance",(816) 298-1133,1312 S Noland Rd,Auto Insurance Discounters,MO,"Independence, ",64055
"Insurance,Financial Services,Investments",(913) 758-4458,100 S 4th St,"Financial Strategies, Inc.",KS,"Leavenworth, ",66048
Auto Insurance,(913) 624-3275,7800 Shawnee Mission Pkwy Suite 12,Affordable Insurance Services,KS,"Mission, ",66202
"Insurance,Auto Insurance",(866) 276-1219,,State Farm,,,
Insurance,(877) 899-7483,,Progressive Insurance,,,
"Insurance,Auto Insurance",(877) 832-0334,,Discount Insurance Quotes,,,
"Insurance,Auto Insurance",(888) 494-5280,,Discount Insurance Quotes,,,
"Insurance,Auto Insurance",(855) 291-0255,,Discount Insurance Quotes,,,
"Insurance,Life Insurance,Farms",(913) 299-0900,9340 Parallel Pkwy,Farm Bureau Financial Services,KS,"Kansas City, ",66112
"Insurance,Auto Insurance",(913) 299-0251,1135 N 75th Dr,Mike Burns - State Farm Insurance Agent,KS,"Kansas City, ",66112
"Insurance,Homeowners Insurance",(913) 371-8414,6400 State Ave,Timothy Williams - State Farm Insurance Agent,KS,"Kansas City, ",66102
"Insurance,Homeowners Insurance",(913) 334-1702,7415 Leavenworth Rd,Don Swanson - State Farm Insurance Agent,KS,"Kansas City, ",66109
"Insurance,Homeowners Insurance",(913) 334-4464,8507 Parallel Pkwy,Kyle Wright - State Farm Insurance Agent,KS,"Kansas City, ",66112
"Insurance,Homeowners Insurance",(913) 334-0038,9539 State Ave,Jane Webb - State Farm Insurance Agent,KS,"Kansas City, ",66111
Insurance,(888) 323-9602,,Progressive Insurance,KS,"Kansas City, ",66106
Insurance,(913) 281-0808,1057 Minnesota Ave,Tom Rich Insurance,KS,"Kansas City, ",66101
"Insurance,Truck Insurance",(888) 323-9602,,Progressive Insurance,KS,"Kansas City, ",66106
"Insurance,Investments,Financial Services",(913) 334-6100,7835 Parallel Pkwy,Alft Insurance Agency,KS,"Kansas City, ",66112
"Financial Services,Homeowners Insurance",(913) 279-0656,8907 State Ave,American Family Insurance - Kevin Gallagher Agency Inc.,KS,"Kansas City, ",66112
"Financial Services,Homeowners Insurance",(913) 210-1942,8151 State Ave,American Family Insurance - Raymond Anderson,KS,"Kansas City, ",66112
"Financial Services,Homeowners Insurance",(913) 279-0684,8160 Parallel Pkwy Ste 102,American Family Insurance - Amber Masters,KS,"Kansas City, ",66112
"Financial Services,Homeowners Insurance",(913) 279-0650,10207 Leavenworth Rd,American Family Insurance - Chris Rhodes,KS,"Kansas City, ",66109
"Insurance,Financial Services,Investments",(913) 758-4458,100 S 4th St,"Financial Strategies, Inc.",KS,"Leavenworth, ",66048
"Insurance,Auto Insurance",(866) 276-1219,,State Farm,,,
