category,phone,streetAddress,name,addressState,addressCity,addressZip
Baseball Clubs & Parks,(913) 328-2255,1800 Village West Pkwy,Kansas City T-Bones,KS,"Kansas City, ",66111
Baseball Clubs & Parks,(800) 676-9257,KAUFFMAN Stadium - One Royal Way,Kansas City Royals,MO,"Kansas City, ",64129
Sports Clubs & Organizations,(913) 334-9526,1800 Village West Pkwy,Kc Wizzards,KS,"Kansas City, ",66111
Sports Clubs & Organizations,(913) 608-5742,2418 Park Dr,Sports Club Champs,KS,"Kansas City, ",66102
Sports Clubs & Organizations,(913) 233-0445,548 S Coy St,Heart Of America Region USA,KS,"Kansas City, ",66105
Sports Clubs & Organizations,(816) 942-2820,1027 W 67th Ter,Volleyball Beach,MO,"Kansas City, ",64113
Sports Clubs & Organizations,(913) 422-4070,19800 Johnson Dr,Shawnee Mission Beach Volleyball,KS,"Shawnee, ",66218
Hockey Clubs,(816) 252-7825,19100 E Valley View Pkwy,Missouri Mavericks,MO,"Independence, ",64055
"Sports Clubs & Organizations,Schools",(816) 836-8552,9001 James A Reed Rd,KC Parochial League,MO,"Kansas City, ",64138
Sports Clubs & Organizations,(913) 499-8704,8500 W 110th St,Puma Futbol Club Inc,KS,"Overland Park, ",66210
Sports Clubs & Organizations,(913) 888-6287,15546 W 108th St,Mavs,KS,"Lenexa, ",66219
Sports Clubs & Organizations,(816) 295-1179,1201 NW Jefferson St,Missouri USA Wrestling,MO,"Blue Springs, ",64015
Sports Clubs & Organizations,(816) 228-2140,1334 SE Scenic Dr,Bandits Baseball,MO,"Blue Springs, ",64014
Hockey Clubs,(316) 264-4625,,Wichita Thunder,,,
Baseball Clubs & Parks,(316) 264-6887,,Wichita Wingnuts,,,
Self Defense Instruction & Equipment,(816) 808-7309,1331 Swift Ave,Elements Martial Arts Inc.: Training for Women & Children,MO,"North Kansas City, ",64116
Tennis Courts-Private,(816) 842-8811,306 Tennis Ct,Northland Racquet Club,MO,"Kansas City, ",64116
