category,phone,streetAddress,name,addressState,addressCity,addressZip
Financial Services,(785) 843-1371,730 New Hampshire St Ste 212,Edward Jones - Financial Advisor: Jeff Peterson,KS,"Lawrence, ",66044
Financial Services,(785) 838-3271,901 Kentucky St Ste #101,Edward Jones - Financial Advisor: Mark R Brosa,KS,"Lawrence, ",66044
Financial Services,(785) 841-0342,1410 Kasold Dr Suite A4,Edward Jones - Financial Advisor: Loren Gottschalk,KS,"Lawrence, ",66049
Financial Services,(785) 842-2450,2449 Iowa St Suite A-1,Edward Jones - Financial Advisor: Liz Kundin,KS,"Lawrence, ",66046
Financial Services,(785) 841-0382,4106 W 6th St Suite A,Edward Jones - Financial Advisor: Todd Walker,KS,"Lawrence, ",66049
Financial Services,(785) 841-6262,4828 Quail Crest Pl Ste B,Edward Jones - Financial Advisor: Harley D Catlin,KS,"Lawrence, ",66049
Financial Services,(785) 841-6262,4828 Quail Crest Pl Ste B,Edward Jones - Financial Advisor: Ryan J Catlin,KS,"Lawrence, ",66049
Structural Engineers,(785) 856-9600,850 E 13th St,Cook Flatt Strobel Engineers PA,KS,"Lawrence, ",66044
"Banks,Commercial & Savings Banks",(785) 749-2224,3400 W 6th St,Truity Credit Union,KS,"Lawrence, ",66049
"Estate Planning, Probate, & Living...",(785) 856-7111,1311 Wakarusa Dr Suite 2121,Ameriprise Financial Services Inc,KS,"Lawrence, ",66049
"Air Duct Cleaning,Carpet & Rug Cleaners",(785) 842-1402,,All Pro Services Inc,KS,"Lawrence, ",66044
Water Damage Restoration,(785) 842-0351,1420 N 3rd St,Paul Davis Restoration,KS,"Lawrence, ",66044
Computer System Designers & Consultants,(785) 331-5819,3804 Pinnacle Cir,Jberra Design,KS,"Lawrence, ",66049
Computers & Computer Equipment-Service...,(785) 727-1355,2625 Moundview Dr,Best Deal Computers,KS,"Lawrence, ",66049
Computers & Computer Equipment-Service...,(785) 841-8766,4105 W 6th St,DoctorDave Computer Repair,KS,"Lawrence, ",66049
Alzheimer's Care & Services,(785) 841-4262,1429 Kasold Dr,Lawrence Presbyterian Manor,KS,"Lawrence, ",66049
"Appraisers,Real Estate Appraisers",(785) 371-3072,"4000 W 6th St, Suite B130","Veritas Appraisals and Consulting, LLC",KS,"Lawrence, ",66049
"Financial Services,Stock & Bond Brokers",(785) 841-3909,3300 Clinton Parkway Ct 100,Edward Jones - Financial Advisor: Scott Burkhart,KS,"Lawrence, ",66047
Business & Economic Development,(785) 249-7893,1036 April Rain Road,"KG Consulting Group, LLC",KS,"Lawrence, ",66049
Management Consultants,(785) 312-9150,100 Riverfront Rd,EFM Integrated,KS,"Lawrence, ",66044
Computers & Computer Equipment-Service...,(785) 832-7177,1 Riverfront Plz,Geeks On Wheels,KS,"Lawrence, ",66044
Advertising Agencies,(785) 838-4774,805 New Hampshire St,Callahan Creek Inc,KS,"Lawrence, ",66044
Marketing Programs & Services,(785) 749-5336,912 Tennessee St,Volicity Marketing,KS,"Lawrence, ",66044
Computer & Equipment Dealers,(785) 841-9513,4921 Legends Dr,Microtech Computers Inc,KS,"Lawrence, ",66049
"Management Consultants,Attorneys",(785) 840-9676,5020 Bob Billings Pkwy # C,Midland Group,KS,"Lawrence, ",66049
Financial Planning Consultants,(785) 843-4939,211 E 8th St,Reinhardt Financial Services,KS,"Lawrence, ",66044
Business Coaches & Consultants,(785) 856-8400,901 Kentucky St # 106,Teamsynergy,KS,"Lawrence, ",66044
"Consulting Engineers,General Contractors",(785) 832-8866,2721 Oregon St,Pinnacle Technology Inc,KS,"Lawrence, ",66046
Consulting Engineers,(785) 832-8866,2721 Oregon St,Johnson Donna,KS,"Lawrence, ",66046
"Insurance,Financial Planning Consultants",(785) 841-7444,2201 W 25th St,Farm Bureau Financial Services,KS,"Lawrence, ",66047
,(877) 206-8692,,,,,
,(816) 751-9334,,,,,
,(816) 237-5420,1201 Walnut St,,MO,"Kansas City, ",64106
,(501) 753-0202,,,,,
,,,,,,
Financial Planning Consultants,(785) 838-1954,2321 Harper St,Raymond James Financial Services,KS,"Lawrence, ",66046
Educational Consultants,(785) 691-7198,549 Arrowhead Dr,Amison Consulting,KS,"Lawrence, ",66049
Financial Planning Consultants,(785) 841-3909,1800 E 23rd St,Edward Jones,KS,"Lawrence, ",66046
Investments,(785) 843-7070,3310 Mesa Way,Great Plains Financial Group,KS,"Lawrence, ",66049
Financial Planning Consultants,(785) 856-1766,3320 Mesa Way,Brush Creek Partners,KS,"Lawrence, ",66049
Investments,(785) 841-0342,1400 Kasold Dr,Edward Jones,KS,"Lawrence, ",66049
Business Coaches & Consultants,(785) 832-0303,1410 Kasold Dr,Chief Executive Network,KS,"Lawrence, ",66049
Stock & Bond Brokers,(785) 841-0342,1410 Kasold Dr,"Hull, Dru B",KS,"Lawrence, ",66049
"Accountants-Certified Public,Bookkeeping",(785) 842-3431,3504 Westridge Dr,Roark & Associates,KS,"Lawrence, ",66049
Financial Planning Consultants,(785) 842-3530,3227 Huntington Rd,A B Financial,KS,"Lawrence, ",66049
Financial Planning Consultants,(785) 842-3530,3227 Huntington Rd,Brown Patrick,KS,"Lawrence, ",66049
Business Coaches & Consultants,(785) 749-3031,2104 W 25th St # E,"Suderman, Bob",KS,"Lawrence, ",66047
Financial Planning Consultants,(785) 843-4422,1617 Saint Andrews Dr,Ameriprise Financial,KS,"Lawrence, ",66047
Financial Planning Consultants,(785) 865-0878,2027 E 26th St,Hui Financial Group,KS,"Lawrence, ",66046
Financial Planning Consultants,(785) 856-2136,627 Monterey Way,Northwestern Mutual Financial,KS,"Lawrence, ",66049
Business Coaches & Consultants,(785) 830-9899,1516 Alvamar Dr,Ad Astra Associated Inc,KS,"Lawrence, ",66047
Business Coaches & Consultants,(785) 843-4447,4000 W 6th St,Bsr,KS,"Lawrence, ",66049
Environmental & Ecological Consultants,(785) 856-8220,3200 Haskell Ave,Guidewire Consulting,KS,"Lawrence, ",66046
Business Coaches & Consultants,(785) 843-0048,1545 Alvamar Dr,Mynsted & Assoc Inc,KS,"Lawrence, ",66047
Business Coaches & Consultants,(888) 708-5595,3100 Ousdahl Rd,Exchange At Lawrence,KS,"Lawrence, ",66046
Financial Planning Consultants,(785) 841-0031,4124 Goldfield St,Royal Alliance Associates Inc,KS,"Lawrence, ",66049
Financial Services,(785) 856-2487,4105 W 6th St # 13,Primerica,KS,"Lawrence, ",66049
Business Coaches & Consultants,(785) 856-3330,400 Jane Ct,GMAP-Triple S,KS,"Lawrence, ",66049
Investment Advisory Service,(785) 841-4664,"2500 W 31st St, Suite B",McDaniel Knutson Financial Partners,KS,"Lawrence, ",66047
Financial Planning Consultants,(785) 842-4650,2500 W 31st St # G2,Blosser Financial Services,KS,"Lawrence, ",66047
Financial Planning Consultants,(785) 841-4664,2500 W 31st St,Cetera Advisor Networks,KS,"Lawrence, ",66047
Financial Planning Consultants,(785) 841-4664,2500 W 31st St # B,Mc Daniel Knutson Finanicial,KS,"Lawrence, ",66047
Financial Planning Consultants,(785) 830-8906,4419 Freedom Creek Dr,Grimmond Financial,KS,"Lawrence, ",66049
Consulting Engineers,(785) 842-6464,616 Vermont St # B,Mann Jarrod PE,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 865-4116,2417 Brookside Ct,Thrivent Financial-Lutherans,KS,"Lawrence, ",66047
"Consulting Engineers,Civil Engineers",(785) 841-1774,4601 W 6th St,Wade & Associates Inc,KS,"Lawrence, ",66049
,,,,,,
Business Coaches & Consultants,(785) 843-8844,734 Vermont St,Small Business Administration,KS,"Lawrence, ",66044
Environmental & Ecological Consultants,(785) 856-8220,"211 East 8th Street, Suite F",Guidewire Consulting,KS,"Lawrence, ",66044
Market Research & Analysis,(785) 841-3493,815 Massachusetts St,Konza Media Group Inc,KS,"Lawrence, ",66044
Consulting Engineers,(785) 832-0252,612 Kentucky St,Morel James PE,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 841-4561,900 Massachusetts St,"Kempf, Teresa Mulinazzi",KS,"Lawrence, ",66044
Investment Advisory Service,(785) 843-3800,900 Massachusetts St # 602,Terlizzi Garth,KS,"Lawrence, ",66044
Financing Consultants,(785) 841-4561,900 Massachusetts St Ste 403,Ameriprise Financial,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 749-1881,900 Massachusetts St,The Perspective Group,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 842-6662,901 Kentucky St,Mooberry Financial Management,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 856-7500,901 Kentucky St,Thompson Financial Group,KS,"Lawrence, ",66044
Consulting Engineers,(785) 865-2332,1001 New Hampshire St,Gpw & Associates,KS,"Lawrence, ",66044
Mold Testing & Consulting,(785) 749-6020,1008 Massachusetts St,Cromwell Environmental,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 841-2266,794 Highway 40,Primerica Financial Svc,KS,"Lawrence, ",66049
Government Offices,(785) 832-5293,1242 Massachusetts St,Douglas County,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 842-3976,713 Lake St,Jamison & Assoc,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 838-7687,2000 Bluffs Dr,Boston Financial Data Service,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 838-7687,2000 Bluffs Dr,Mason Steve,KS,"Lawrence, ",66044
Financial Planning Consultants,(785) 865-5308,515 Rockledge Rd,Rademacher Finanicial Inc,KS,"Lawrence, ",66049
"Banks,Financial Planning Consultants",(785) 749-9000,1026 Westdale Rd,Capitol Federal Savings Bank,KS,"Lawrence, ",66049
Government Consultants,(785) 842-5385,2409 Westdale Rd,D Lane Consulting,KS,"Lawrence, ",66049
Business Coaches & Consultants,(785) 830-8929,2105 Carolina St,Good Energy Solutions Inc,KS,"Lawrence, ",66046
"Mutual Funds,Investments",(785) 841-7676,2601 W 6th St,Waddell & Reed,KS,"Lawrence, ",66049
Investment Advisory Service,(785) 841-3523,2332 Haskell Ave,C Sharla Investors,KS,"Lawrence, ",66046
Financial Planning Consultants,(785) 842-8333,3110 Mesa Way # A,Alpha & Omega Financial Services,KS,"Lawrence, ",66049
Investment Advisory Service,(785) 749-0904,3120 Mesa Way,Trust Co Of Kansas,KS,"Lawrence, ",66049
Financial Planning Consultants,(785) 841-2985,3200 Mesa Way,Ameriprise Financial Services Inc,KS,"Lawrence, ",66049
Web Site Design & Services,(785) 331-0333,123 W 8th St,Flory Design,KS,"Lawrence, ",66044
Financial Planners,(785) 841-2985,3200 Mesa Way,"Brumley, Billy",KS,"Lawrence, ",66049
Investment Advisory Service,(785) 841-2985,3200 Mesa Way,"Johnson, Peggy",KS,"Lawrence, ",66049
"Consulting Engineers,Civil Engineers",(785) 856-1900,3210 Mesa Way # A,Grob Engineering,KS,"Lawrence, ",66049
,,,,,,
Marketing Consultants,(785) 856-6622,916 Massachusetts St,Miller Meiers,KS,"Lawrence, ",66044
Computer Network Design & Systems,(785) 856-2998,1001 New Hampshire St,Desktop & Data Solutions,KS,"Lawrence, ",66044
Advertising Agencies,(785) 841-2892,1015 W 9th St,Maria Arnone & Assoc,KS,"Lawrence, ",66044
Management Consultants,(785) 841-1429,1145 Louisiana St,Hawks Pointe,KS,"Lawrence, ",66044
Computer System Designers & Consultants,(785) 856-7360,2441 W 6th St,Dooph.Com,KS,"Lawrence, ",66049
Management Consultants,(785) 856-9560,2206 Gennessee Ct,Diane Burkett,KS,"Lawrence, ",66044
Web Site Design & Services,(785) 856-7810,1942 Stewart AVE,Sprout Design,KS,"Lawrence, ",66046
Management Consultants,(785) 856-2370,3210 Mesa Way Ste B,Communityworks Inc,KS,"Lawrence, ",66049
Data Systems-Consultants & Designers,(785) 840-0800,2411 Ponderosa Dr,Fundamental Technologies,KS,"Lawrence, ",66046
Marketing Programs & Services,(785) 842-1445,1305 Jonathan Dr,PDP Marketing,KS,"Lawrence, ",66049
Management Consultants,(785) 856-2356,2120 W 25th St,Bartlow Michael D Chartered,KS,"Lawrence, ",66047
Marketing Consultants,(785) 856-1990,1617 Saint Andrews Dr,Kern Marketing Inc,KS,"Lawrence, ",66047
Management Consultants,(785) 842-1890,2709 Lawrence Ave,Southwind Environmental Associates,KS,"Lawrence, ",66047
Management Consultants,(785) 832-8400,3140 Iowa St,Hurst Management Office,KS,"Lawrence, ",66046
Management Consultants,(785) 838-0036,3833 Greenway Dr,TSR Inc,KS,"Lawrence, ",66046
Marketing Programs & Services,(785) 856-0020,4516 Grove Dr,Creative Marketing Services,KS,"Lawrence, ",66049
Computer Cable & Wire Installation,(785) 865-5111,3008 W 30th St,Sanders Software,KS,"Lawrence, ",66047
Management Consultants,(785) 842-8540,5000 Congressional Way,Pyle Bill,KS,"Lawrence, ",66049
Management Consultants,(785) 842-8228,1140 N 1876 Rd,Randolph E Schwering & Associates,KS,"Lawrence, ",66049
Management Consultants,(785) 331-4206,1437 Legends Cir,Kern Management,KS,"Lawrence, ",66049
Management Consultants,(785) 749-1006,1555 Fountain Dr,Emac Assessments,KS,"Lawrence, ",66047
Computer System Designers & Consultants,(785) 766-3470,1270 N 1108 Rd,Timberkine Technology Inc,KS,"Lawrence, ",66047
Computer System Designers & Consultants,(785) 865-0660,961 E 1600 Rd,Holland Technologies Inc,KS,"Lawrence, ",66046
Management Consultants,(785) 748-0605,PO Box 3747,Growing for Market,KS,"Lawrence, ",66046
Financial Planning Consultants,(785) 856-2222,645 Massachusetts St,Edmonds Duncan Investment Advisors,KS,"Lawrence, ",66044
"Financial Planners,Financing Consultants",(785) 841-4561,"Bank Towers, Ste 403",Ameriprise Financial,KS,"Lawrence, ",66044
Consulting Engineers,(785) 856-1900,PO Box 502,Grob Engineering,KS,"Lawrence, ",66044
"Civil Engineers,Consulting Engineers",(785) 749-9452,628 Vermont St,Bartlett & West Engineers Inc,KS,"Lawrence, ",66044
Electrical Engineers,(785) 842-6464,616 Vermont St,Professional Engineering,KS,"Lawrence, ",66044
,,,,,,
Business Coaches & Consultants,(785) 842-6382,2200 W 25th St,Mayhew Environmental Training,KS,"Lawrence, ",66047
Financial Services,(785) 856-2487,4500 Bob Billings Pkwy,Primerica,KS,"Lawrence, ",66049
Consulting Engineers,(785) 841-1774,1201 Wakarusa Dr,Ch2m Hill,KS,"Lawrence, ",66049
Consulting Engineers,(785) 841-1774,1201 Wakarusa Dr # D,Wade Mark,KS,"Lawrence, ",66049
"Civil Engineers,Consulting Engineers",(785) 843-7530,1310 Wakarusa Dr # 100,Landplan Engineering,KS,"Lawrence, ",66049
"Civil Engineers,Consulting Engineers",(785) 749-4474,1405 Wakarusa Dr,B G Consultants Inc,KS,"Lawrence, ",66049
Financial Services,(785) 841-9517,"1425 Oread West St., Suite 106",Raymond James Financial Services,KS,"Lawrence, ",66049
Investments,(785) 749-1111,1429 Oread West St # 100,Morgan Stanley Wealth Management,KS,"Lawrence, ",66049
"Insurance,Financial Planning Consultants",(785) 856-8920,2311 Wakarusa Dr,Farm Bureau Financial,KS,"Lawrence, ",66047
Business Coaches & Consultants,(785) 840-0879,1031 Vermont St,I P Consulting Service Inc,KS,"Lawrence, ",66044
Management Consultants,(785) 312-9880,1930 N 7th St,Gut Works,KS,"Lawrence, ",66044
Business Coaches & Consultants,(785) 841-4363,901 Lexington Ave,Byte Maine Consulting Inc,KS,"Lawrence, ",66049
Government Consultants,(785) 760-3397,4705 McCormick St,T Birdie Consulting Inc,KS,"Lawrence, ",66047
Consulting Engineers,(785) 842-2292,714 Vermont St # 200,Hughes Consulting Engineering,KS,"Lawrence, ",66044
