category,phone,streetAddress,name,addressState,addressCity,addressZip
Soccer Clubs,(785) 749-5872,2518 Ridge Ct,Kaw Valley Soccer Association,KS,"Lawrence, ",66046
Baseball Clubs & Parks,(913) 328-2255,1800 Village West Pkwy,Kansas City T-Bones,KS,"Kansas City, ",66111
Sports Clubs & Organizations,(785) 484-2261,6615 Maple Ct # 392,Perry Yacht Club,KS,"Meriden, ",66512
Sports Clubs & Organizations,(785) 484-2261,8368 Yacht Club Dr,Perry Yacht Club,KS,"Meriden, ",66512
Sports Clubs & Organizations,(785) 267-5674,2815 SE 25th St,Dornwood Girls Softball A,KS,"Topeka, ",66605
Sports Clubs & Organizations,(913) 334-9526,1800 Village West Pkwy,Kc Wizzards,KS,"Kansas City, ",66111
Sports Clubs & Organizations,(913) 422-4070,19800 Johnson Dr,Shawnee Mission Beach Volleyball,KS,"Shawnee, ",66218
Sports Clubs & Organizations,(913) 888-6287,15546 W 108th St,Mavs,KS,"Lenexa, ",66219
Sports Clubs & Organizations,(913) 783-4300,25825 Edgemore Rd,Water Sports,KS,"Paola, ",66071
Sports Clubs & Organizations,(913) 499-8704,8500 W 110th St,Puma Futbol Club Inc,KS,"Overland Park, ",66210
Hockey Clubs,(816) 252-7825,,Missouri Mavericks,,,
Baseball Clubs & Parks,(800) 676-9257,KAUFFMAN Stadium - One Royal Way,Kansas City Royals,MO,"Kansas City, ",64129
Hockey Clubs,(316) 264-4625,,Wichita Thunder,,,
Baseball Clubs & Parks,(316) 264-6887,,Wichita Wingnuts,,,
Rifle & Pistol Ranges,(785) 843-8213,918 E 1650th Rd,Cedar Hill Gun Club,KS,"Baldwin City, ",66006
Social Service Organizations,(913) 301-3376,18573 Stillwell Rd,Tri County Rod & Gun Club,KS,"Linwood, ",66052
"Golf Practice Ranges,Golf Courses",(913) 724-4653,4605 Clubhouse Dr,Falcon Lakes Golf Club,KS,"Basehor, ",66007
"Batting Cages,Golf Practice Ranges",(913) 492-4386,18145 W 87th St,Kansas Sports Center,KS,"Lenexa, ",66219
"Golf Courses,Golf Practice Ranges",(913) 393-4653,20200 Prairie Star Pkwy,Falcon Ridge Golf Club,KS,"Lenexa, ",66220
Golf Tournament Booking & Planning...,(913) 529-2235,18145 W 87th St,Golf Club of Kansas,KS,"Lenexa, ",66219
Baseball Clubs & Parks,(785) 266-8870,2801 SE 25th St,Highland Park Baseball Association,KS,"Topeka, ",66605
Directory & Guide Advertising,(913) 428-9583,PO Box 3591,YouthSportsKC.com,KS,"Olathe, ",66063
Soccer Clubs,(913) 764-6405,1570 S Mahaffie Cir,Olathe Soccer Club,KS,"Olathe, ",66062
"Soccer Clubs,Sporting Goods",(913) 397-6566,15440 S Keeler St,Soccer Kemistry,KS,"Olathe, ",66062
Soccer Clubs,(913) 782-6434,708 S Rogers Rd Ste C,Kansas State Youth Soccer Assn,KS,"Olathe, ",66062
