category,phone,streetAddress,name,addressState,addressCity,addressZip
Physicians & Surgeons,(212) 935-3333,919 2nd Ave,MedRite Urgent Care - Eastside,NY,"New York, ",10017
"Missions,Churches & Places of Worship",(212) 675-3746,305 7th Ave # 1300,Episcopal Mission Society,NY,"New York, ",10001
Churches & Places of Worship,(212) 689-1595,236 E 31st St,Church Of Good Shepherd (Episcopal),NY,"New York, ",10016
Churches & Places of Worship,(212) 686-2770,5TH Ave,Marble Collegiate Church,NY,"New York, ",10016
"Synagogues,Religious Organizations",(212) 682-2626,109 E 39th St,Society Of Jewish Science,NY,"New York, ",10016
Churches & Places of Worship,(212) 228-4494,740 E 13th St,St Emeric's Church,NY,"New York, ",10009
Churches & Places of Worship,(201) 662-0196,522 38th St,Centro Cristiano De Adoracion,NJ,"Union City, ",07087
Churches & Places of Worship,(212) 586-5052,340 W 55th St # 5D,Violoncello Society Inc,NY,"New York, ",10019
Churches & Places of Worship,(212) 868-1847,440 W 36th St Apt 1,Solid Ground Ministry,NY,"New York, ",10018
Churches & Places of Worship,(212) 245-4566,244 W 54th St,United Spiritualists Church,NY,"New York, ",10019
Churches & Places of Worship,(212) 753-8418,348 E 55th St,Saint John Evangelist Church,NY,"New York, ",10022
Churches & Places of Worship,(212) 645-2680,208 W 29th St,Church Universal Triumphant,NY,"New York, ",10001
Churches & Places of Worship,(646) 497-0092,633 3rd Ave,World Confederation-United,NY,"New York, ",10017
Churches & Places of Worship,(212) 983-8326,215 E 45th St,Project Renewal New Providence,NY,"New York, ",10017
Churches & Places of Worship,(212) 768-2366,519 8th Ave # 806,Life Ministry,NY,"New York, ",10018
Churches & Places of Worship,(212) 874-4150,460 Columbus Ave,Mission Bethel Inc,NY,"New York, ",10024
Churches & Places of Worship,(201) 865-2325,1314 Central Ave,Sts Joseph & Michael,NJ,"Union City, ",07087
Churches & Places of Worship,(212) 734-5747,211 E 83rd St,Saint Elizabeth Church,NY,"New York, ",10028
Churches & Places of Worship,(212) 289-4100,316 E 88th St,Church of The Holy Trinity,NY,"New York, ",10128
Churches & Places of Worship,(646) 723-4178,209 E 16th St,Parish-Calvary/St Georges In,NY,"New York, ",10003
Churches & Places of Worship,(212) 404-7874,330 W 38th St # 704,Sacred Center For Spriritual,NY,"New York, ",10018
Churches & Places of Worship,(212) 375-1765,533 12th Ave,Father The Heart Ministries,NY,"New York, ",10036
Churches & Places of Worship,(212) 768-1929,481 8th Ave,Hsa-Uwc World Mission Center,NY,"New York, ",10001
"Clergy,Churches & Places of Worship",(212) 541-6300,1657 Broadway,Wilkerson David,NY,"New York, ",10019
Churches & Places of Worship,(212) 368-5282,411 W 54th St,Baptist Church Bryantmemonal,NY,"New York, ",10019
Churches & Places of Worship,(212) 239-2906,575 Madison Ave,Prayer Watch Temple Ministries,NY,"New York, ",10022
Churches & Places of Worship,(212) 924-7838,120 W 17th St,Iglesia Cristiana Pentescotal,NY,"New York, ",10011
"Clergy,Churches & Places of Worship",(212) 838-1324,323 E 61st St,Rectory,NY,"New York, ",10065
Churches & Places of Worship,(212) 254-0658,238 E 15th St,Icm Sisters,NY,"New York, ",10003
Churches & Places of Worship,(212) 260-6367,195 E 7th St,Mission Board Church Of God,NY,"New York, ",10009
,(877) 351-4939,19920 Linden Blvd,,NY,"Saint Albans, ",11412
,,,,,,
Churches & Places of Worship,(212) 868-7440,80 8th Ave # 1500,True Love Productions,NY,"New York, ",10011
Churches & Places of Worship,(212) 243-0265,328 W 14th St,Our Lady of Guadalupe,NY,"New York, ",10014
"Synagogues,Churches & Places of Worship",(212) 873-0300,8 W 70th St,Congregation Shearith Israel,NY,"New York, ",10023
Churches & Places of Worship,(212) 206-2630,320 W 13th St,St Vincents,NY,"New York, ",10014
Churches & Places of Worship,(212) 737-6081,215 E 68th St,Peter L Jacobs Inc,NY,"New York, ",10065
Churches & Places of Worship,(212) 288-6331,1237 3rd Ave,WMJ Diamond Assembly Comm,NY,"New York, ",10021
Churches & Places of Worship,(212) 924-5914,11 E 11th St,Crespy Melissa F,NY,"New York, ",10003
Churches & Places of Worship,(212) 717-2500,301 E 79th St,"C, Roman",NY,"New York, ",10075
"Synagogues,Synagogues-Reform",(212) 473-3665,325 E 6th St,Community Synagogue Center,NY,"New York, ",10003
Churches & Places of Worship,(212) 673-1024,76 2nd Ave,Iglesia Evangelica Hispana,NY,"New York, ",10003
"Synagogues,Synagogues-Reform",(212) 505-5264,415 E 6th St,Congregation Meseritz,NY,"New York, ",10009
Churches & Places of Worship,(212) 228-7470,606 E 9th St,Campaigners For,NY,"New York, ",10009
Churches & Places of Worship,(212) 677-7970,56 2nd Ave,Iglesia De Cristo,NY,"New York, ",10003
Churches & Places of Worship,(212) 375-9360,130 Avenue C,Psa 4,NY,"New York, ",10009
"Synagogues,Religious Organizations",(212) 877-5850,270 W 84th St,Congregation Ohav Sholom,NY,"New York, ",10024
Churches & Places of Worship,(212) 644-2291,851 Main St,Dayspring Church,NY,"New York, ",10044
"Synagogues,Churches & Places of Worship",(212) 749-5150,118 W 95th St,Congregation Ohab Zedek,NY,"New York, ",10025
Churches & Places of Worship,(201) 392-9698,1901 New York Ave,Abibamiento Carrismatico Mndl,NJ,"Union City, ",07087
Churches & Places of Worship,(201) 392-9698,418 19th St,Iglesia Del Avivamiento,NJ,"Union City, ",07087
Churches & Places of Worship,(201) 867-6859,5308 Palisade Ave,Talmud Torah,NJ,"West New York, ",07093
Churches & Places of Worship,(201) 863-5727,4214 Kennedy Blvd,Sister Filippini,NJ,"Union City, ",07087
Churches & Places of Worship,(718) 349-6557,715 Leonard St,Saint Anthony Saint Alphonsus,NY,"Brooklyn, ",11222
"Churches & Places of Worship,Schools",(201) 867-3818,615 8th St,Saint Anthony Parish,NJ,"Union City, ",07087
Churches & Places of Worship,(212) 921-9170,414 W 51st St,Morningstar International,NY,"New York, ",10019
Churches & Places of Worship,(201) 867-8668,4914 Hudson Ave,Evangelical Pentecostal Church,NJ,"West New York, ",07093
"Clergy,Churches & Places of Worship",(212) 972-3636,355 Lexington Ave # 18,Central Conference-American,NY,"New York, ",10017
Churches & Places of Worship,(718) 392-7407,2308 44th Dr,Christ Embassy International,NY,"Long Island City, ",11101
Churches & Places of Worship,(212) 594-2999,300 W 38th St # 200,Word Center,NY,"New York, ",10018
"Missions,Churches & Places of Worship",(212) 867-9042,821 United Nations Plz,Turkishmission Press Off,NY,"New York, ",10017
Churches & Places of Worship,(917) 921-0707,219 Sullivan St,Vineyard Christian Fellowship,NY,"New York, ",10012
,,,,,,
"Churches & Places of Worship,Child Care",(201) 865-9030,407 23rd St,First United Methodist Church,NJ,"Union City, ",07087
Churches & Places of Worship,(212) 838-3189,237 E 62nd St,Our Lady Of Peace,NY,"New York, ",10065
Churches & Places of Worship,(888) 666-1203,315 Madison Ave Room 901,The Esoteric Transformational Church Ministry,NY,"New York, ",10017
Churches & Places of Worship,(212) 807-4191,315 Madison Ave,Xcorp1,NY,"New York, ",10017
Churches & Places of Worship,(212) 288-3215,337 E 74th St,Greek Cathedral-Holy Trinity,NY,"New York, ",10021
Churches & Places of Worship,(212) 460-5820,139 W 35th St,Aquarian Foundation,NY,"New York, ",10001
Churches & Places of Worship,(718) 729-7382,4533 21st St,Iglesia Ni Cristo,NY,"Long Island City, ",11101
Historical Places,(212) 254-2000,802 Broadway,The Historic Grace Church,NY,"New York, ",10003
"Synagogues,Synagogues-Reform",(212) 674-0167,78 W 11th St,Brotherhood Synagogue,NY,"New York, ",10011
Churches & Places of Worship,(212) 288-1526,65 E 82nd St,Scientology Church,NY,"New York, ",10028
Churches & Places of Worship,(212) 982-7110,76 2nd Ave,Spanish Evangelical Church,NY,"New York, ",10003
Churches & Places of Worship,(718) 389-4783,862 Manhattan Ave,Saint Anthony Of Padua,NY,"Brooklyn, ",11222
Religious Organizations,(212) 689-3622,217 E 28th St,Self Realization Fellowship,NY,"New York, ",10016
"Synagogues,Churches & Places of Worship",(212) 983-4800,70 W 36th St,Jewish Community Rltns Council,NY,"New York, ",10018
Churches & Places of Worship,(212) 242-9882,236 W 23rd St,Congregation Emunath Israel,NY,"New York, ",10011
"Synagogues,Churches & Places of Worship",(212) 754-9555,11 E 63rd St,Cong EJ Safra Cong Beit Ykv,NY,"New York, ",10065
"Synagogues,Clergy",(212) 744-1400,1 E 65th St,Temple Emanu-El,NY,"New York, ",10065
"Clergy,Churches & Places of Worship",(212) 753-2261,460 Madison Ave,St Patrick's Cathedral Rectory,NY,"New York, ",10022
Churches & Places of Worship,(212) 228-3940,247 E 7th St,Iglesia Cristiana Misionera,NY,"New York, ",10009
Churches & Places of Worship,(212) 675-2140,15 W 39th St,Spiritualist Church Of NYC,NY,"New York, ",10018
Churches & Places of Worship,(212) 947-1115,481 8th Ave,Holy Spirit Association,NY,"New York, ",10001
Churches & Places of Worship,(212) 563-3395,502 W 41st St,Croation Church Of Saint Cyril,NY,"New York, ",10036
Churches & Places of Worship,(212) 924-0167,296 9th Ave,Holy Apostles Soup Kitchen,NY,"New York, ",10001
"Clergy,Churches & Places of Worship",(212) 838-5123,123 E 55th St,Seligson David J,NY,"New York, ",10022
Churches & Places of Worship,(212) 724-4081,166 W 72nd St,Church Of Spiritual Discovery,NY,"New York, ",10023
Churches & Places of Worship,(212) 505-6161,523 E 14th St,God's Healing Stream Church,NY,"New York, ",10009
Churches & Places of Worship,(212) 254-7257,548 E 13th St,Church Of The Bible Crusaders,NY,"New York, ",10009
Churches & Places of Worship,(212) 254-6685,288 E 10th St,Saint Nicholas Carpatho Church,NY,"New York, ",10009
Churches & Places of Worship,(212) 260-1780,119 Avenue B,St Brigeds Church,NY,"New York, ",10009
Churches & Places of Worship,(212) 614-0370,393 E 8th St,Abounding Grace Ministries,NY,"New York, ",10009
,,,,,,
Churches & Places of Worship,(212) 362-4039,143 W 87th St,Sisters Of The Presentation,NY,"New York, ",10024
Churches & Places of Worship,(212) 979-9008,250 E 3rd St,Iglesia Pentecostal El Divino,NY,"New York, ",10009
"Synagogues,Churches & Places of Worship",(212) 673-2835,89 Rivington St,First Roumanian Amer Congrgtn,NY,"New York, ",10002
Churches & Places of Worship,(718) 482-0505,3949 29th St,Bayanihan Seventh Day Advntst,NY,"Long Island City, ",11101
Churches & Places of Worship,(201) 863-1505,900 New York Ave,Iglesia Cristiana Emanual,NJ,"Union City, ",07087
Churches & Places of Worship,(718) 218-9265,325 W 33rd St,Metro Christian Center,NY,"New York, ",10001
Churches & Places of Worship,(212) 909-2709,2124 Broadway,Jerusalem Fellowship,NY,"New York, ",10023
Convents & Monasteries,(718) 729-6060,3938 29th St,Saint Patrick's Convent,NY,"Long Island City, ",11101
"Synagogues,Religious Organizations",(212) 391-6966,205 W 40th St,Garment Center Congregation,NY,"New York, ",10018
Churches & Places of Worship,(212) 382-0180,315 W 36th St,Vision Church,NY,"New York, ",10018
Churches & Places of Worship,(212) 632-4600,135 W 50th St # 6,Jewish Alchlics Chemcly Dpndnt,NY,"New York, ",10020
