category,phone,streetAddress,name,addressState,addressCity,addressZip
"Attorneys,Drug Charges Attorneys",(888) 650-9374,"14 Wall St 20th Fl,","Law Offices of Bukh & Associates, PLLC",NY,"New York, ",10005
Personal Injury Law Attorneys,(718) 514-6813,,"Sackstein, Sackstein & Lee, LLP",,,
Attorneys,(888) 372-9651,9507 Jamaica Ave,Marianne Gonzalez Attorney At Law,NY,"Woodhaven, ",11421
Accident & Property Damage Attorneys,(347) 343-2852,122 E 42nd St,"Rosenberg, Minc, Falkoff & Wolff, LLP",NY,"New York, ",10168
Foreclosure Services,(718) 514-9888,60 Bay St Penthouse,Law Office of Nicholas Moccia P.C.,NY,"Staten Island, ",10301
"Attorneys,Transportation Law Attorneys",(347) 497-6951,,Musa-Obregon & Associates,,,
"Tax Attorneys,Attorneys",(866) 371-8717,,Anderson & Associates Tax Attorneys,,,
"Tax Attorneys,Attorneys",(855) 314-6906,,Fidelity Tax Relief,,,
"Attorneys,Drug Charges Attorneys",(888) 650-9374,"14 Wall St 20th Fl,","Law Offices of Bukh & Associates, PLLC",NY,"New York, ",10005
Attorneys,(888) 372-9651,9507 Jamaica Ave,Marianne Gonzalez Attorney At Law,NY,"Woodhaven, ",11421
Foreclosure Services,(718) 514-9888,60 Bay St Penthouse,Law Office of Nicholas Moccia P.C.,NY,"Staten Island, ",10301
Accident & Property Damage Attorneys,(347) 343-2852,122 E 42nd St,"Rosenberg, Minc, Falkoff & Wolff, LLP",NY,"New York, ",10168
Personal Injury Law Attorneys,(718) 514-6813,,"Sackstein, Sackstein & Lee, LLP",,,
"Attorneys,Transportation Law Attorneys",(347) 497-6951,,Musa-Obregon & Associates,,,
Family Law Attorneys,(888) 979-5071,98 Cuttermill Rd Ste 441,The Law Offices of Ira S. Newman,NY,"Great Neck, ",11021
Family Law Attorneys,(917) 512-4343,370 Lexington Ave Rm 505,The Mandel Law Firm,NY,"New York, ",10017
Criminal Law Attorneys,(347) 834-8150,86 Court St,Greenberg Law Firm,NY,"Brooklyn, ",11201
Personal Injury Law Attorneys,(917) 675-4027,370 Lexington Ave Rm 505,The Mandel Law Firm,NY,"New York, ",10017
Criminal Law Attorneys,(718) 608-0200,885 Annadale Rd,Leo V Duval Attorney At Law,NY,"Staten Island, ",10312
Attorneys,(718) 229-9002,26 Court St,Klee & Woolf LLP,NY,"Brooklyn, ",11242
"Attorneys,Personal Injury Law Attorneys",(888) 990-7240,3272 Steinway St Suite 401,"Surdez & Perez, P.C.",NY,"Astoria, ",11103
Attorneys,(866) 912-3551,172 E 161st St,Getz & Braverman P.C.,NY,"Bronx, ",10451
Legal Service Plans,(855) 353-7720,17026 Cedarcroft Rd,Joseph A Ledwidge Attorney At Law,NY,"Jamaica, ",11432
Criminal Law Attorneys,(347) 497-6178,26 Court St Suite 714,Lonnie Hart Esq,NY,"Brooklyn, ",11201
Divorce Assistance,(212) 359-9352,469 Fashion Ave Suite 743 (7rd Floor),Divorce299.com,NY,"New York, ",10018
Appellate Practice Attorneys,(718) 759-1000,179 Bay Ridge Ave,Geanine Towers P.C.,NY,"Brooklyn, ",11220
Employment Discrimination Attorneys,(646) 808-0314,45 Broadway Ste 620,Phillips & Associates,NY,"New York, ",10006
"Attorneys,Domestic Violence Attorneys",(347) 389-1669,16 Court St Suite 2000,Neil S. Ruskin Attorney at Law,NY,"Brooklyn, ",11241
Criminal Law Attorneys,(347) 960-5102,12516 Queens Blvd,"The Reibstein Law Group, PLLC",NY,"Kew Gardens, ",11415
"Divorce Attorneys,Divorce Assistance",(212) 537-6744,3108 Broadway Suite 204,Richardson Legal PLLC,NY,"Astoria, ",11106
"Divorce Attorneys,Attorneys",(212) 349-5506,15 Maiden Ln Ste. 1008,"Jeffrey Shaw, Attorney at Law",NY,"New York, ",10038
"Criminal Law Attorneys,Attorneys",(347) 741-8415,3105 Church Ave,Law Office of Alex Klein,NY,"Brooklyn, ",11226
Attorneys Referral & Information...,(888) 659-7710,,24/7 Legal,,,
Personal Injury Law Attorneys,(201) 947-6484,,"Nancy E Lucianna, P.C.",,,
Attorneys,(718) 967-1600,3309 Richmond Ave,"Jonathan D'Agostino & Associates, P.C.",NY,"Staten Island, ",10312
