category,phone,streetAddress,name,addressState,addressCity,addressZip
Churches & Places of Worship,(480) 990-1234,,Acts Messianic Congregation,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 452-3107,3400 S Mill Ave,Tempe Life Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 350-9535,1040 E Apache Blvd,City In The Desert Metro Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 456-6356,1250 E Baseline Rd,Southwest Bible Fellowship,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 446-3316,1011 S McClintock Dr,Gpccc Student Center,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 966-2895,1101 S Hardy Dr,New Beginnings In Christ,AZ,"Tempe, ",85281
Churches & Places of Worship,(877) 774-6469,. . .,Front Land Church International,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 839-7966,5815 S Mcclintock Dr,Tempe Christian Church,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 968-3966,318 E 15th St,Friends Meeting of Tempe,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 968-5895,711 W University Dr,City Of The Lord,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 777-9900,1805 E Elliot Rd,Tempe Vineyard Church,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 966-4678,707 E Broadway Rd,Door Christian Fellowship,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 456-6356,700 W 10th St,Southwest Bible Fellowship,AZ,"Tempe, ",85281
"Churches & Places of Worship,Synagogues",(480) 838-1414,5801 S Rural Rd,Temple Emanuel,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 727-0916,21 E 6th St,Community Snap Of Arizona,AZ,"Tempe, ",85281
Churches & Places of Worship,(602) 437-2081,2737 W Southern Ave # 1,Lamb of God Christian Ctr,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 373-6843,2229 W Broadway Rd,Calvary Chapel Of East Mesa,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 894-9754,615 S Beck Ave,First Church Of God Of Tempe,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 966-6193,947 S McAllister Ave,Church of Jesus Christ of LDS,AZ,"Tempe, ",85281
"Churches & Places of Worship,Mosques",(480) 894-6070,131 E 6th St,Islamic Community Ctr,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 829-9700,3400 S Mill Ave,Arizona Brothers Keeper Ministry,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 478-8380,3501 S McClintock Dr,Arizona Tempe Mission,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 656-3093,1715 S El Camino Dr,Ambassadors For Peace Embassy,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 570-8132,1608 E Palmcroft Dr,A-Saem Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 838-0689,1871 E Del Rio Dr,Church Of Jesus Christ Of Latter Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 755-7853,6574 S Dateland Dr,Dominion Life Worship Center,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 491-6707,6411 S River Dr,Trinity Center of New Thought,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 298-2613,611 S San Jose,Legacy Baptist Church,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 838-2424,2720 S Dorsey Ln,First Christian Church-Tempe,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 838-2887,3929 S Rural Rd,Tempe Church Of Nazarene,AZ,"Tempe, ",85282
,,,,,,
Churches & Places of Worship,(480) 414-4490,751 N Country Club Dr,Real Life Christian Church,AZ,"Mesa, ",85201
Churches & Places of Worship,(480) 892-6224,143 S Alma School Rd,Saint Ignatius Of Antioch,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 610-8336,527 W Broadway Rd,Iglesia La Roca,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 981-5457,,Living Christ Fellowship,AZ,"Mesa, ",85205
Churches & Places of Worship,(480) 941-4345,8017 E Roosevelt St,Prayer Center,AZ,"Scottsdale, ",85257
Churches & Places of Worship,(602) 283-1046,650 W Southern Ave,Church Of Jesus Christ Of Latter Day Saints,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 964-3646,235 W 10th Pl,Church Of Jesus Christ Of Latter Day Saints,AZ,"Mesa, ",85201
Churches & Places of Worship,(480) 945-9331,1803 S Longmore,Salt River United Presbyterian,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 733-4348,460 S Country Club Dr,Women Of Power International Ministries,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 610-8336,527 W Broadway Rd,Oasis Christian Center,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 962-1479,554 W 6th Dr,The Free Church of Tonga,AZ,"Mesa, ",85210
Churches & Places of Worship,(623) 537-1691,8451 E Oak St,Word of Life Christian Ctr,AZ,"Scottsdale, ",85257
Churches & Places of Worship,(480) 946-4583,7934 E Oak St,Scottsdale Christian Church,AZ,"Scottsdale, ",85257
Churches & Places of Worship,(480) 983-0560,GRACE Community Church Of Ea,Grace Community Church of East Valley,AZ,"Apache Junction, ",85119
Churches & Places of Worship,(480) 291-9127,,Oasis of Truth Church,,,
Churches & Places of Worship,(480) 838-7309,2540 W Baseline Rd,St Matthew United Methodist,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 474-0442,255 S Winchester Rd,Jehovah's Witnesses,AZ,"Apache Junction, ",85119
Churches & Places of Worship,(480) 834-3312,314 W University Dr,New Life Assembly of God,AZ,"Mesa, ",85201
Churches & Places of Worship,(480) 844-2687,56 S Robson,Shiloh Baptist Church,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 897-2036,2425 S Alma School Rd,Mesa Baptist Church,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 947-7385,2500 N Scottsdale Rd,Scottsdale Baptist Church,AZ,"Scottsdale, ",85257
Churches & Places of Worship,(480) 775-5200,1730 W Guadalupe Rd,St Timothy Catholic Church,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 834-4473,1310 S Dobson Rd,Church Of Jesus Christ Of Latter Day Saints,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 223-0157,215 N Robson,Mesa Vista,AZ,"Mesa, ",85201
Churches & Places of Worship,(480) 839-5807,1810 S Longmore,College View Baptist Church,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 969-7221,142 N Date,First Evangelical Lutheran Chr,AZ,"Mesa, ",85201
Churches & Places of Worship,(480) 838-8550,2530 S Alma School Rd,Celebration-Life Presbyterian,AZ,"Mesa, ",85210
Churches & Places of Worship,(480) 497-6063,,Gilbert Independent Baptist,AZ,"Gilbert, ",85299
Churches & Places of Worship,(480) 233-1210,745 N Alma School Rd,Valley Chinese Baptist Church,AZ,"Mesa, ",85201
Churches & Places of Worship,(480) 543-9535,444 W Main St,Rose Of Sharon Pentecostal Church,AZ,"Mesa, ",85201
,,,,,,
Churches & Places of Worship,(480) 966-8600,2707 S College Ave,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 967-8577,45 W Broadway Rd,Church Of Jesus Christ Of Latter Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 820-0753,4400 S Butte Ave,Jehovah's Witnesses,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 966-8300,1221 W Howe St,Church Of Jesus Christ Of Latter Day Saints,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 777-9046,6001 S Lakeshore Dr,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 752-8993,6304 S Price Rd,Bethany Christian School,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 839-4005,1111 E Knox Rd,Church Of Jesus Christ Of Latter Day Saints,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 730-5501,2150 E Southern Ave,Tri-City Baptist Church TDD,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 820-3675,1826 E Southern Ave,Christian Science Reading Room,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 491-0303,W Baseline Rd,Salvation Army,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 838-7379,BAHA I Faith,Baha'l Faith,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 835-0257,997 E Broadway Rd,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 892-9709,1415 E Southern Ave,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 834-0042,1050 W Grove W Grove Pkwy,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(602) 276-4790,650 W Southern Ave,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 831-0030,6016 S McClintock Dr,Centro Evangelico Fuente De Vida,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 926-2357,777 E Elliot Rd,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 947-7495,515 E Continental Dr,Abiding Savior Lutheran Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 945-5250,455 E Continental Dr,Abiding Savior Luth Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 966-5892,1824 E Loma Vista Dr,Christian Science First Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 967-4498,1000 S McAllister Ave,Church Of Jesus Christ Of Latter Day Saints,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 894-1568,1243 E Broadway Rd Ste 103,PRESBYTERIAN Services Agency,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 894-2610,1034 S Mill Ave,Alleluia Lutheran Student,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 838-0689,1881 E Del Rio Dr,Church of Jesus Christ of Latter-Day Saints,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 897-1544,1050 W Grove Pkwy,Church Of Jesus Christ Of Latter Day Saints,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 838-0659,1871 E Del Rio Dr,Arizona Tempe Mission,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 967-3792,Eck Mary Louise C,Eck Mary Louise C S,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 556-6060,2003 E 5th St,Clint Rogers Ministries,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 820-0224,2115 W Guadalupe Rd Ste 102,Divine Word Ministries,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 463-5811,101 W Main St,Faith Harvest Church,AZ,"Mesa, ",85201
,,,,,,
Churches & Places of Worship,(480) 890-0864,310 N Dobson Rd,Lovingkindness Pentecost Church,AZ,"Mesa, ",85201
Churches & Places of Worship,(480) 838-5700,1001 E Southern Ave,Valley Chinese Baptist Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 446-3316,1011 S McClintock Dr,Greater Phoenix Chinese Christian Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 656-1273,1711 W. University Rd ,Iglesia Enlace,AZ,"Tempe, ",85281
Churches & Places of Worship,(602) 456-1049,2741 W Southern Ave,Faithful Word Baptist Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 967-7280,1341 E University Dr,Metro Phoenix Chinese Alliance,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 730-8600,8600 S McClintock Dr,Desert Cross Lutheran Church,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 838-0207,3201 S Evergreen Rd,Church Of The Resurrection,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 966-2895,1101 S Hardy Dr,Tempe Wesleyan Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 820-9944,1565 E Warner Rd,Mission Del Sol Presbyterian,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 345-0405,975 E Warner Rd,St James Episcopal Church,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 967-4022,41 E 13th St,Tempe Seventh Day Adventist,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 839-0926,4525 S McClintock Dr,First Baptist Church Of Tempe,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 967-3543,340 E 15th St,University Lutheran Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 967-0379,2435 E McArthur Dr,Saint Margaret Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 839-7966,5815 S McClintock Dr,So McClintock Baptist Church,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 994-9425,2722 N College Ave,Grace Baptist Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 967-3376,215 E University Dr,First United Methodist Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 894-6353,1448 E Cedar St,Haku-Un-Ji Zen Ctr,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 491-2210,9325 S Rural Rd,Arizona Community Church,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 838-4240,6415 S Lakeshore Dr,Lakeshore Bible Church,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 968-6606,1619 S Hardy Dr,Salvation Army,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 736-8672,971 S Ash Ave,Merkos Chabad Lubavitch,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 894-6151,235 S El Dorado Cir,Church of Jesus Christ of Latter-Day Saints,AZ,"Mesa, ",85202
Churches & Places of Worship,(480) 425-0691,536 E Fillmore St,Korean Global Mission Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 968-5317,2707 S College Ave,Bodily Howard Bishop,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 921-2800,605 S Ash Ave,Huellmantel & Affiliates,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 967-2660,1337 W 11th St,Beautiful Savior Lutheran Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 491-6610,1835 E Elliot Rd,Vineyard Christian Fellowship,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 829-3905,101 E 6th St,Antioch Community Church,AZ,"Tempe, ",85281
,,,,,,
Churches & Places of Worship,(480) 967-6022,2066 E Don Carlos Ave,Calvary Baptist Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 967-7037,655 W Warner Rd,Crosspoint Church of God,AZ,"Tempe, ",85284
Churches & Places of Worship,(480) 345-6200,2334 E Southern Ave,Calvary Chapel,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 967-5266,1701 S College Ave,Community Christian Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 838-5700,1001 E Southern Ave,Cross Poin Tempe Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 968-4111,2222 S Price Rd,Episcopal Church-The Epiphany,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 966-6267,139 E Alameda Dr,University Presbyterian Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 968-7847,2424 S Mill Ave,Tempe Church Of Christ,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 968-7006,1316 S Martin Ln,Evangelical Fomosan Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 967-2275,101 E 6th St,First Congregational Church,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 831-5005,6240 S Price Rd,Bethany Community Church,AZ,"Tempe, ",85283
Churches & Places of Worship,(480) 967-3295,1735 S College Ave,St Augustine's Pre-School,AZ,"Tempe, ",85281
Churches & Places of Worship,(480) 967-3983,715 W Southern Ave,Emmanuel Ev Lutheran Church,AZ,"Tempe, ",85282
Churches & Places of Worship,(480) 839-8599,5700 S Country Club Way,Desert Rose Lutheran Brethren,AZ,"Tempe, ",85283
