category,phone,streetAddress,name,addressState,addressCity,addressZip
Sports Clubs & Organizations,(785) 267-5674,2815 SE 25th St,Dornwood Girls Softball A,KS,"Topeka, ",66605
Tennis Courts-Private,(785) 266-9999,2909 SW 37th St,Wood Valley Pool,KS,"Topeka, ",66614
Baseball Clubs & Parks,(785) 266-8870,2801 SE 25th St,Highland Park Baseball Association,KS,"Topeka, ",66605
Public Swimming Pools,(785) 271-5196,4201 SW Reinisch Pkwy,Blaisdell Pool,KS,"Topeka, ",66604
Soccer Clubs,(785) 233-9700,4829 NW 17th St,Sunflower Soccer Association,KS,"Topeka, ",66618
"Rifle & Pistol Ranges,Guns & Gunsmiths",(785) 233-1616,3043 NW Button Rd,Kaw Valley Gun Club,KS,"Topeka, ",66618
Rifle & Pistol Ranges,(785) 478-4682,,Capital City Gun Club Inc,KS,"Topeka, ",66601
Sports Clubs & Organizations,(785) 484-2261,6615 Maple Ct # 392,Perry Yacht Club,KS,"Meriden, ",66512
Sports Clubs & Organizations,(785) 484-2261,8368 Yacht Club Dr,Perry Yacht Club,KS,"Meriden, ",66512
Hockey Clubs,(316) 264-4625,,Wichita Thunder,,,
Baseball Clubs & Parks,(316) 264-6887,,Wichita Wingnuts,,,
Baseball Clubs & Parks,(800) 676-9257,,Kansas City Royals,,,
Public Swimming Pools,(785) 584-6306,714 S Main St,Rossville Community Swimming,KS,"Rossville, ",66533
Soccer Clubs,(785) 749-5872,2518 Ridge Ct,Kaw Valley Soccer Association,KS,"Lawrence, ",66046
Public Swimming Pools,(785) 449-2220,100 Maple St,Maisie Community Pool,KS,"Eskridge, ",66423
Rifle & Pistol Ranges,(785) 843-8213,918 E 1650th Rd,Cedar Hill Gun Club,KS,"Baldwin City, ",66006
,,,,,,
