category,phone,streetAddress,name,addressState,addressCity,addressZip
"Youth Organizations & Centers,Clubs",(316) 687-5437,2400 N Opportunity Dr,Boys & Girls Club Of America,KS,"Wichita, ",67219
Youth Organizations & Centers,(316) 616-5000,221 S. Broadway Ste. 711,Youth For Christ,KS,"Wichita, ",67201
Youth Organizations & Centers,(316) 721-2090,1700 N Westridge Dr,Two Rivers Youth Club Inc,KS,"Wichita, ",67203
Youth Organizations & Centers,(316) 943-2243,,Youth Crisis Center,KS,"Wichita, ",67203
Youth Organizations & Centers,(316) 267-2248,505 S Broadway St,Junior Achievement Of Wichita,KS,"Wichita, ",67202
Youth Organizations & Centers,(316) 744-2801,601 N Hydraulic St,McLean Ballpark,KS,"Wichita, ",67214
Youth Organizations & Centers,(316) 263-7325,1157 N Piatt Ave,Hope Street Youth,KS,"Wichita, ",67214
Youth Organizations & Centers,(316) 264-3386,3247 S Oliver St,Quivira Council,KS,"Wichita, ",67210
Youth Organizations & Centers,(316) 260-3607,1212 S Longfellow St,Good Brothers,KS,"Wichita, ",67207
Youth Organizations & Centers,(316) 295-4809,3232 N Rock Rd,Kansas USBC Youth,KS,"Wichita, ",67226
Youth Organizations & Centers,(316) 978-7935,DEBLIN Hall Wsu,Youth Entrepreneurs Of Kansas,KS,"Wichita, ",67260
Youth Organizations & Centers,(316) 828-5500,4111 E 37th St N,Youth Entrepreneurs Kansas,KS,"Wichita, ",67220
Youth Organizations & Centers,(316) 722-3805,745 N Westlink Ave,Dv8,KS,"Wichita, ",67212
Youth Organizations & Centers,(316) 684-6531,360 Lexington Rd,Girl Scouts,KS,"Wichita, ",67218
Youth Organizations & Centers,(316) 263-0074,1555 E 2nd St N,Quivira Council BSA,KS,"Wichita, ",67214
Youth Organizations & Centers,(316) 262-8293,1601 E Douglas Ave,Youth Horizons,KS,"Wichita, ",67211
Youth Organizations & Centers,(316) 689-8410,255 S Estelle St,Catacombs Youth Ministry,KS,"Wichita, ",67211
Youth Organizations & Centers,(316) 262-4663,810 N Holyoke St,Safe Place,KS,"Wichita, ",67208
Youth Organizations & Centers,(316) 303-1490,6505 E Central Ave,Young Life Wichita,KS,"Wichita, ",67206
Youth Organizations & Centers,(316) 264-5581,1831 N Rock Road Ct,Young Life International,KS,"Wichita, ",67206
"Youth Organizations & Centers,Clubs",(316) 264-3386,3247 N. Oliver St,Boy Scouts of America,KS,"Wichita, ",67220
Churches-Methodist,(316) 685-4922,255 S Estelle ST,Korean United Methodist Church,KS,"Wichita, ",67211
Community Organizations,(316) 207-8958,855 S. Martinson,Tornado Alley Young Marines,KS,"Wichita, ",67213
"Lodging,Community Organizations",(316) 832-1827,604 W 33rd St N,Elks Lodge,KS,"Wichita, ",67204
County & Parish Government,(316) 660-0100,7001 W 21st St N,Sedgwick County Office,KS,"Wichita, ",67205
Youth Organizations & Centers,(316) 685-5574,6808 E Harry St,Faith Chapel Wichita,KS,"Wichita, ",67207
Churches-Methodist,(316) 682-6518,4407 E Douglas Ave,East Heights United Methodist Church,KS,"Wichita, ",67218
Social Service Organizations,(316) 978-9255,2116 S Seneca St # 103,Pathways Family Services,KS,"Wichita, ",67213
Home Improvements,(316) 282-0919,,Fence Doctor,,,
"Reading Instruction,Tutoring",(888) 481-4990,,Sylvan Learning Center,,,
,,,,,,
Youth Organizations & Centers,(620) 434-5395,,Girl Scouts of Kansas Heartland Inc,KS,"Mayfield, ",67103
Youth Organizations & Centers,(316) 745-3619,,Girl Scouts of Kansas Heartland Other Locations,KS,"Leon, ",67074
Youth Organizations & Centers,(620) 545-8310,7800 S 103rd St W,Girl Scouts of Kansas Heartland,KS,"Clearwater, ",67026
Youth Organizations & Centers,(316) 529-5922,7106 S Broadway St,Haysville Recreation Dept,KS,"Haysville, ",67060
Youth Organizations & Centers,(785) 539-4812,321 Sunset Ave,Girl Scouts,KS,"Haysville, ",67060
Social Service Organizations,(316) 448-1060,1115 E US Highway 54,Greater Wichita YMCA,KS,"Andover, ",67002
"Cheerleading,Gymnastics Instruction",(316) 990-1026,952 W Grand Ave,Excel All-Star Cheer,KS,"Haysville, ",67060
Youth Organizations & Centers,(316) 733-4444,12703 SW 90th Ter,Campus Ministry Network,KS,"Andover, ",67002
Youth Organizations & Centers,(620) 478-2314,226 S Marion St,Girl Scouts of America,KS,"Colwich, ",67030
Churches-Methodist,(620) 326-7403,202 W Harvey Ave,First United Methodist Church,KS,"Wellington, ",67152
,,,,,,
"Youth Organizations & Centers,Clubs",(316) 687-5437,2400 N Opportunity Dr,Boys & Girls Club Of America,KS,"Wichita, ",67219
Youth Organizations & Centers,(316) 616-5000,221 S. Broadway Ste. 711,Youth For Christ,KS,"Wichita, ",67201
Youth Organizations & Centers,(316) 721-2090,1700 N Westridge Dr,Two Rivers Youth Club Inc,KS,"Wichita, ",67203
Youth Organizations & Centers,(316) 943-2243,,Youth Crisis Center,KS,"Wichita, ",67203
Youth Organizations & Centers,(316) 267-2248,505 S Broadway St,Junior Achievement Of Wichita,KS,"Wichita, ",67202
Youth Organizations & Centers,(316) 744-2801,601 N Hydraulic St,McLean Ballpark,KS,"Wichita, ",67214
Youth Organizations & Centers,(316) 263-7325,1157 N Piatt Ave,Hope Street Youth,KS,"Wichita, ",67214
Youth Organizations & Centers,(316) 264-3386,3247 S Oliver St,Quivira Council,KS,"Wichita, ",67210
Youth Organizations & Centers,(316) 260-3607,1212 S Longfellow St,Good Brothers,KS,"Wichita, ",67207
Youth Organizations & Centers,(316) 295-4809,3232 N Rock Rd,Kansas USBC Youth,KS,"Wichita, ",67226
Youth Organizations & Centers,(316) 978-7935,DEBLIN Hall Wsu,Youth Entrepreneurs Of Kansas,KS,"Wichita, ",67260
Youth Organizations & Centers,(316) 828-5500,4111 E 37th St N,Youth Entrepreneurs Kansas,KS,"Wichita, ",67220
Youth Organizations & Centers,(316) 722-3805,745 N Westlink Ave,Dv8,KS,"Wichita, ",67212
Youth Organizations & Centers,(316) 684-6531,360 Lexington Rd,Girl Scouts,KS,"Wichita, ",67218
Youth Organizations & Centers,(316) 263-0074,1555 E 2nd St N,Quivira Council BSA,KS,"Wichita, ",67214
Youth Organizations & Centers,(316) 262-8293,1601 E Douglas Ave,Youth Horizons,KS,"Wichita, ",67211
Youth Organizations & Centers,(316) 689-8410,255 S Estelle St,Catacombs Youth Ministry,KS,"Wichita, ",67211
Youth Organizations & Centers,(316) 262-4663,810 N Holyoke St,Safe Place,KS,"Wichita, ",67208
Youth Organizations & Centers,(316) 303-1490,6505 E Central Ave,Young Life Wichita,KS,"Wichita, ",67206
Youth Organizations & Centers,(316) 264-5581,1831 N Rock Road Ct,Young Life International,KS,"Wichita, ",67206
"Youth Organizations & Centers,Clubs",(316) 264-3386,3247 N. Oliver St,Boy Scouts of America,KS,"Wichita, ",67220
Churches-Methodist,(316) 685-4922,255 S Estelle ST,Korean United Methodist Church,KS,"Wichita, ",67211
Community Organizations,(316) 207-8958,855 S. Martinson,Tornado Alley Young Marines,KS,"Wichita, ",67213
"Lodging,Community Organizations",(316) 832-1827,604 W 33rd St N,Elks Lodge,KS,"Wichita, ",67204
County & Parish Government,(316) 660-0100,7001 W 21st St N,Sedgwick County Office,KS,"Wichita, ",67205
Youth Organizations & Centers,(316) 685-5574,6808 E Harry St,Faith Chapel Wichita,KS,"Wichita, ",67207
Churches-Methodist,(316) 682-6518,4407 E Douglas Ave,East Heights United Methodist Church,KS,"Wichita, ",67218
Social Service Organizations,(316) 978-9255,2116 S Seneca St # 103,Pathways Family Services,KS,"Wichita, ",67213
Home Improvements,(316) 282-0919,,Fence Doctor,,,
"Reading Instruction,Tutoring",(888) 481-4990,,Sylvan Learning Center,,,
,,,,,,
category,phone,streetAddress,name,addressState,addressCity,addressZip
Youth Organizations & Centers,(785) 232-5699,4303 NE Indian Creek Rd,Boys & Girls Club,KS,"Topeka, ",66617
"Youth Organizations & Centers,Clubs",(785) 354-8541,1020 SE Monroe St,Boy Scouts of America,KS,"Topeka, ",66612
Youth Organizations & Centers,(785) 234-5601,510 SW 27th St,Boys & Girls Club Of America,KS,"Topeka, ",66611
Youth Organizations & Centers,(785) 232-5699,550 SE 27th St,Boys & Girls Club Of America,KS,"Topeka, ",66605
Youth Organizations & Centers,(785) 286-0429,3710 NW Topeka Blvd,Faith Family Life Center,KS,"Topeka, ",66617
Youth Organizations & Centers,(785) 273-3100,2300 SW 29th St # 200,Girl Scouts,KS,"Topeka, ",66611
Youth Organizations & Centers,(785) 232-7444,2620 SE 23rd St,Clarence M Kelley Youth Center,KS,"Topeka, ",66605
Youth Organizations & Centers,(785) 232-5300,700 SW Jackson St Ste 1101,Youthville,KS,"Topeka, ",66603
Youth Organizations & Centers,(785) 232-6393,3600 NE Sardou Ave,Air Explorer Squadron,KS,"Topeka, ",66616
Youth Organizations & Centers,(785) 862-3939,6814 SW Knoll Ct,New Beginnings For Youth,KS,"Topeka, ",66619
Youth Organizations & Centers,(785) 232-8296,2714 NW Topeka Blvd,Youth For Christ,KS,"Topeka, ",66617
Youth Organizations & Centers,(785) 862-3929,5901 SW 61st St,Southwest Athletic Youth Association,KS,"Topeka, ",66619
Youth Organizations & Centers,(785) 256-6586,7250 SW Douglas Rd,Girl Scouts,KS,"Topeka, ",66610
Youth Organizations & Centers,(785) 256-6027,7240 SW Douglas Rd,Kaw Valley Girls Scout,KS,"Topeka, ",66610
Community Organizations,(785) 357-8386,1316 SE Madison St,Elks Lodge,KS,"Topeka, ",66607
"Reading Instruction,Tutoring",(888) 481-4990,,Sylvan Learning Center,,,
Nursing & Convalescent Homes,(785) 986-6715,,North East Kansas Search and Rescue Association (NEK-SAR),KS,"Hoyt, ",66440
Camps-Recreational,(785) 876-2465,,Boy Scout Camp Jayhawk,KS,"Ozawkie, ",66070
Youth Organizations & Centers,(785) 379-5041,4140 SE Dyre Dr,Boy Scouts Troop,KS,"Tecumseh, ",66542
Youth Organizations & Centers,(785) 256-6357,RR 7,Girl Scouts,KS,"Dover, ",66420
"Clubs,Youth Organizations & Centers",(785) 876-2465,300 Kansa Dr,Boy Scouts of America,KS,"Ozawkie, ",66070
,,,,,,
