category,phone,streetAddress,name,addressState,addressCity,addressZip
Youth Organizations & Centers,(913) 432-0556,6639 Parallel Ave,Collaborative Youth Dev Service,KS,"Kansas City, ",66102
Youth Organizations & Centers,(913) 621-3260,1240 Troup Ave,Boys & Girls Club Of America,KS,"Kansas City, ",66104
Youth Organizations & Centers,(913) 334-9469,6431 Freeman Ave,Buffalo Soldiers Seminole,KS,"Kansas City, ",66102
Youth Organizations & Centers,(913) 745-8095,701 Minnesota Ave,Youth Entrepreneurs Of Kansas,KS,"Kansas City, ",66101
Youth Organizations & Centers,(913) 371-8998,3321 Garfield Ave,Central States Conference Youth Center,KS,"Kansas City, ",66104
Youth Organizations & Centers,(913) 596-7319,718 N 54th St,Associated Youth Services,KS,"Kansas City, ",66102
Youth Organizations & Centers,(913) 378-9622,8601 Parallel Pkwy,YMCA-GREATER Ks City Fitns,KS,"Kansas City, ",66112
Youth Organizations & Centers,(913) 422-1035,1100 Martinek Ln,Boy Scouts Of America,KS,"Kansas City, ",66111
Social Service Organizations,(913) 233-0755,650 Minnesota Ave,Higher Dimensions Inc,KS,"Kansas City, ",66101
"Reading Instruction,Tutoring",(888) 481-4990,,Sylvan Learning Center,,,
Youth Organizations & Centers,(816) 221-0347,1601 E 18th St,Higher M-Pact,MO,"Kansas City, ",64108
Youth Organizations & Centers,(816) 472-9822,1025 Jefferson St,Youth Volunteer Corps America,MO,"Kansas City, ",64105
Youth Organizations & Centers,(816) 285-2010,1100 Walnut St # 1900,Camp Fire USA,MO,"Kansas City, ",64106
Youth Organizations & Centers,(913) 322-1401,1800 Baltimore Ave Ste 400,Youth Friends,MO,"Kansas City, ",64108
Youth Organizations & Centers,(816) 691-2984,526 Campbell St,Don Bosco Community Ctr,MO,"Kansas City, ",64106
Youth Organizations & Centers,(816) 474-3566,3100 Main St # 202,Future Leaders Outreach Net,MO,"Kansas City, ",64111
"Churches-Methodist,Churches-Christian",(816) 844-3126,3101 NE Winn Rd,Avondale United Methodist Church,MO,"Kansas City, ",64117
Youth Organizations & Centers,(816) 505-0503,7000 NW Prairie View Rd,Young Life North,MO,"Kansas City, ",64151
Youth Organizations & Centers,(816) 241-0880,3417 E 12th St,Milestone Youth Center,MO,"Kansas City, ",64127
Youth Organizations & Centers,(816) 931-2900,4950 Central St,USA Rise Up Youth Institute On Race,MO,"Kansas City, ",64112
Youth Organizations & Centers,(816) 921-4327,3621 Troost Ave,Youthbuild CBKC,MO,"Kansas City, ",64109
Youth Organizations & Centers,(913) 384-3366,5960 Dearborn St,Young Life Shawnee Mission,KS,"Mission, ",66202
Youth Organizations & Centers,(816) 984-8280,5863 NW 72nd St,Family First Center for Autism & Child Development,MO,"Kansas City, ",64151
Youth Organizations & Centers,(816) 531-9200,4049 Pennsylvania Ave # 120,Partnership For Children,MO,"Kansas City, ",64111
Youth Organizations & Centers,(816) 931-6290,2800 E Linwood Blvd,The Hope Center,MO,"Kansas City, ",64128
Youth Organizations & Centers,(816) 241-5252,5101 E 24th St,Boys And Girls Clubs Of Greater Kansas City,MO,"Kansas City, ",64127
Youth Organizations & Centers,(913) 262-1700,4715 Rainbow Blvd,Kcyfc,KS,"Westwood, ",66205
Youth Organizations & Centers,(913) 384-7377,5041 Reinhardt Dr,Catholic Youth Organization,KS,"Roeland Park, ",66205
